100 4285
0 1 1
0 2 4
0 3 6
0 4 8
0 5 10
0 6 6
0 7 7
0 8 8
0 9 5
0 10 8
0 11 1
0 12 8
0 13 9
0 15 1
0 16 4
0 17 1
0 18 10
0 19 2
0 21 3
0 22 9
0 23 1
0 24 2
0 25 9
0 26 9
0 27 9
0 28 6
0 29 10
0 32 1
0 34 9
0 36 5
0 37 7
0 38 7
0 39 9
0 40 10
0 41 8
0 42 5
0 43 4
0 44 3
0 45 5
0 46 3
0 47 3
0 49 2
0 50 10
0 51 4
0 52 7
0 53 8
0 56 6
0 58 1
0 59 2
0 61 5
0 62 4
0 63 3
0 64 6
0 65 3
0 66 9
0 67 4
0 68 9
0 69 10
0 70 10
0 71 6
0 72 9
0 74 6
0 76 6
0 77 6
0 78 8
0 79 2
0 81 9
0 82 5
0 83 8
0 84 3
0 85 3
0 86 7
0 87 1
0 88 3
0 89 9
0 90 7
0 91 1
0 92 4
0 93 10
0 95 10
0 96 9
0 98 1
0 99 4
1 3 2
1 4 6
1 5 3
1 7 4
1 9 10
1 10 1
1 11 4
1 12 10
1 13 6
1 14 7
1 15 1
1 16 5
1 17 10
1 18 1
1 21 1
1 22 4
1 23 10
1 24 7
1 26 2
1 27 10
1 28 2
1 29 7
1 30 10
1 31 5
1 32 6
1 34 6
1 35 3
1 36 6
1 38 5
1 40 4
1 41 1
1 42 9
1 44 10
1 48 6
1 49 1
1 50 7
1 51 9
1 52 7
1 53 6
1 54 5
1 55 2
1 56 1
1 57 7
1 58 6
1 59 5
1 60 8
1 61 5
1 62 4
1 63 1
1 65 5
1 67 10
1 68 3
1 69 9
1 70 5
1 71 2
1 72 7
1 73 6
1 74 7
1 76 7
1 77 2
1 79 6
1 80 1
1 81 8
1 82 6
1 83 6
1 84 2
1 85 4
1 86 5
1 88 2
1 89 1
1 92 6
1 94 1
1 95 7
1 96 5
1 97 10
1 98 8
1 99 1
2 3 10
2 4 9
2 6 5
2 7 10
2 8 4
2 9 2
2 10 1
2 11 8
2 12 4
2 13 10
2 14 7
2 15 7
2 16 2
2 17 8
2 18 6
2 19 1
2 20 5
2 22 10
2 23 1
2 24 10
2 26 10
2 27 6
2 29 5
2 30 7
2 31 2
2 32 4
2 34 7
2 35 10
2 37 8
2 38 1
2 40 2
2 41 3
2 42 3
2 43 10
2 44 8
2 45 7
2 47 4
2 48 8
2 49 8
2 50 8
2 51 5
2 52 6
2 53 2
2 54 7
2 55 6
2 56 6
2 57 1
2 58 3
2 59 5
2 60 2
2 61 6
2 62 10
2 64 7
2 65 4
2 66 10
2 68 3
2 69 2
2 70 8
2 71 9
2 72 3
2 73 4
2 74 8
2 75 6
2 76 4
2 77 10
2 78 7
2 79 5
2 80 9
2 81 9
2 82 1
2 84 6
2 85 1
2 86 9
2 87 3
2 88 7
2 89 10
2 90 6
2 91 7
2 93 7
2 94 6
2 95 6
2 96 6
2 97 3
2 98 3
2 99 8
3 4 4
3 5 7
3 6 2
3 7 6
3 8 10
3 9 9
3 10 1
3 11 3
3 12 8
3 13 6
3 14 7
3 15 9
3 16 7
3 17 3
3 18 6
3 19 8
3 21 10
3 22 7
3 23 10
3 24 3
3 26 2
3 27 3
3 28 3
3 30 2
3 31 3
3 32 7
3 33 10
3 34 8
3 35 5
3 36 10
3 37 7
3 39 6
3 40 6
3 41 6
3 42 2
3 43 4
3 44 6
3 45 1
3 46 7
3 47 8
3 48 10
3 49 6
3 50 3
3 51 7
3 52 8
3 53 3
3 55 2
3 57 9
3 58 7
3 59 7
3 60 10
3 61 8
3 62 8
3 63 3
3 64 6
3 65 8
3 66 6
3 67 10
3 68 1
3 69 4
3 70 4
3 71 1
3 72 9
3 73 5
3 74 1
3 75 2
3 76 8
3 78 10
3 79 6
3 80 1
3 81 7
3 82 5
3 84 10
3 85 7
3 87 3
3 88 4
3 89 9
3 90 7
3 91 6
3 92 5
3 93 7
3 94 9
3 95 9
3 96 9
3 97 2
3 98 4
3 99 1
4 5 7
4 6 1
4 7 7
4 10 9
4 11 8
4 12 4
4 13 6
4 14 2
4 15 3
4 17 4
4 18 3
4 19 9
4 20 7
4 21 10
4 22 10
4 23 10
4 24 9
4 25 3
4 26 10
4 27 4
4 28 2
4 29 1
4 31 10
4 32 3
4 33 6
4 34 9
4 36 9
4 37 8
4 38 4
4 39 2
4 40 10
4 41 2
4 42 2
4 45 4
4 46 5
4 47 8
4 48 10
4 49 6
4 51 6
4 53 2
4 54 3
4 55 2
4 56 3
4 57 3
4 58 7
4 59 2
4 60 8
4 61 2
4 62 5
4 63 9
4 64 6
4 65 3
4 66 10
4 67 7
4 68 5
4 69 1
4 70 7
4 71 1
4 72 6
4 73 3
4 74 4
4 75 3
4 76 10
4 77 3
4 78 3
4 79 2
4 81 4
4 83 1
4 84 6
4 85 2
4 86 1
4 87 3
4 89 2
4 90 1
4 92 3
4 93 7
4 94 3
4 95 10
4 96 6
4 97 6
4 98 7
4 99 7
5 7 1
5 8 4
5 9 7
5 10 9
5 11 1
5 12 8
5 13 4
5 14 9
5 15 6
5 17 7
5 18 10
5 19 5
5 20 4
5 21 3
5 22 1
5 23 1
5 25 9
5 26 9
5 27 4
5 28 5
5 30 5
5 31 7
5 32 7
5 33 5
5 34 10
5 37 1
5 38 4
5 39 6
5 40 4
5 42 6
5 43 9
5 44 4
5 45 2
5 47 6
5 48 6
5 49 8
5 50 8
5 51 9
5 53 8
5 54 4
5 55 4
5 56 8
5 57 4
5 58 4
5 59 6
5 60 7
5 62 3
5 63 2
5 64 6
5 65 7
5 66 10
5 67 1
5 68 10
5 69 9
5 70 8
5 71 1
5 72 6
5 73 9
5 75 5
5 76 4
5 77 5
5 78 7
5 79 9
5 80 4
5 82 8
5 83 7
5 84 1
5 85 2
5 86 2
5 87 1
5 88 7
5 89 10
5 91 3
5 92 4
5 93 6
5 94 4
5 95 3
5 97 7
5 98 9
5 99 1
6 7 6
6 9 4
6 10 6
6 11 7
6 12 6
6 13 10
6 14 5
6 15 5
6 16 10
6 18 4
6 19 5
6 20 2
6 21 2
6 22 5
6 23 10
6 24 1
6 25 1
6 26 5
6 27 7
6 28 7
6 29 3
6 30 2
6 31 4
6 32 5
6 35 4
6 36 3
6 37 3
6 38 3
6 40 3
6 41 3
6 42 4
6 43 4
6 45 3
6 46 9
6 47 1
6 48 5
6 49 7
6 51 6
6 52 2
6 53 9
6 54 10
6 55 9
6 56 3
6 57 4
6 58 4
6 59 8
6 60 4
6 61 10
6 62 8
6 64 8
6 65 3
6 66 5
6 67 9
6 68 3
6 69 4
6 70 3
6 71 8
6 72 2
6 74 4
6 75 6
6 77 8
6 78 2
6 79 9
6 80 10
6 81 9
6 82 9
6 83 4
6 84 2
6 85 8
6 86 6
6 87 4
6 88 1
6 89 2
6 91 8
6 92 6
6 93 10
6 94 9
6 95 2
6 97 7
6 98 7
6 99 1
7 8 4
7 10 7
7 11 5
7 12 1
7 13 1
7 14 5
7 15 3
7 16 8
7 18 1
7 19 5
7 20 4
7 21 10
7 23 6
7 24 5
7 25 10
7 26 6
7 27 10
7 30 8
7 31 6
7 32 7
7 33 6
7 34 7
7 35 8
7 36 6
7 37 6
7 39 2
7 40 3
7 42 1
7 43 6
7 44 5
7 46 4
7 47 2
7 48 9
7 49 4
7 50 10
7 51 2
7 52 7
7 53 4
7 54 1
7 55 9
7 56 5
7 57 1
7 58 3
7 59 8
7 60 4
7 61 5
7 63 8
7 64 2
7 65 7
7 66 1
7 67 7
7 68 1
7 69 10
7 70 6
7 71 3
7 72 3
7 74 6
7 75 7
7 76 5
7 77 5
7 78 7
7 79 8
7 80 2
7 81 2
7 82 4
7 83 7
7 84 9
7 85 6
7 87 8
7 88 9
7 89 9
