50 1206
0 1 5
0 2 1
0 3 2
0 4 2
0 5 6
0 6 10
0 7 10
0 8 5
0 9 7
0 10 6
0 11 1
0 12 2
0 13 4
0 14 3
0 15 9
0 16 2
0 17 7
0 18 7
0 19 7
0 20 3
0 21 9
0 22 2
0 23 5
0 24 9
0 25 5
0 26 10
0 27 9
0 28 7
0 29 1
0 30 6
0 31 8
0 32 7
0 33 6
0 34 7
0 35 9
0 36 7
0 37 1
0 38 1
0 39 5
0 40 2
0 41 9
0 42 3
0 43 9
0 44 2
0 45 5
0 46 9
0 47 10
0 48 6
0 49 3
1 2 6
1 3 9
1 4 2
1 5 10
1 6 2
1 7 4
1 8 4
1 9 10
1 10 7
1 12 8
1 13 6
1 14 2
1 15 2
1 16 4
1 17 4
1 18 5
1 19 1
1 20 10
1 21 5
1 22 5
1 23 3
1 24 2
1 25 9
1 26 3
1 27 5
1 28 7
1 29 6
1 30 9
1 31 9
1 32 4
1 33 4
1 35 8
1 36 2
1 37 1
1 38 3
1 39 3
1 40 4
1 41 6
1 42 5
1 43 5
1 44 6
1 45 5
1 46 4
1 47 9
1 48 10
1 49 2
2 3 6
2 4 6
2 5 7
2 6 8
2 7 2
2 8 8
2 9 7
2 10 10
2 11 4
2 12 1
2 13 5
2 14 6
2 15 6
2 16 4
2 17 9
2 18 6
2 19 2
2 20 4
2 21 9
2 22 9
2 23 8
2 24 6
2 25 6
2 26 2
2 27 3
2 28 8
2 29 2
2 30 7
2 31 8
2 32 6
2 33 3
2 34 4
2 35 4
2 36 8
2 37 7
2 38 7
2 39 10
2 40 2
2 41 6
2 42 8
2 43 4
2 44 10
2 45 7
2 46 2
2 47 7
2 48 1
2 49 1
3 4 10
3 5 2
3 6 3
3 7 10
3 8 6
3 9 2
3 10 6
3 11 4
3 12 10
3 13 4
3 14 5
3 15 5
3 16 7
3 17 3
3 18 6
3 19 4
3 20 1
3 21 8
3 22 7
3 23 9
3 24 5
3 25 7
3 26 10
3 27 4
3 28 2
3 29 7
3 30 8
3 31 10
3 32 6
3 33 8
3 34 1
3 35 3
3 36 7
3 37 7
3 38 4
3 39 2
3 40 2
3 41 2
3 42 3
3 43 10
3 44 1
3 45 8
3 46 10
3 47 6
3 48 4
3 49 2
4 5 2
4 6 7
4 7 5
4 8 4
4 9 1
4 10 2
4 11 6
4 12 5
4 13 6
4 14 2
4 15 8
4 16 8
4 17 6
4 18 9
4 19 4
4 20 6
4 21 1
4 22 5
4 23 5
4 24 4
4 25 10
4 26 5
4 27 8
4 28 8
4 29 2
4 30 1
4 31 6
4 33 3
4 34 9
4 35 8
4 36 2
4 37 4
4 38 6
4 39 1
4 40 8
4 41 7
4 42 10
4 43 5
4 44 10
4 45 2
4 46 1
4 47 7
4 48 4
4 49 9
5 7 1
5 8 10
5 9 4
5 10 6
5 11 7
5 12 3
5 13 8
5 14 10
5 15 8
5 16 2
5 17 1
5 18 6
5 19 7
5 20 7
5 21 1
5 22 6
5 24 3
5 25 9
5 26 10
5 27 9
5 28 4
5 29 10
5 30 4
5 31 6
5 32 3
5 33 5
5 34 9
5 35 6
5 36 5
5 37 10
5 38 6
5 39 6
5 40 3
5 41 1
5 42 8
5 43 2
5 44 5
5 45 5
5 46 8
5 47 3
5 48 7
5 49 9
6 7 8
6 8 9
6 9 4
6 10 9
6 11 7
6 12 10
6 13 4
6 14 9
6 15 10
6 16 10
6 17 1
6 18 2
6 19 3
6 20 9
6 21 10
6 22 9
6 24 2
6 25 2
6 26 3
6 27 7
6 28 1
6 29 5
6 30 4
6 31 10
6 32 10
6 33 7
6 34 8
6 35 5
6 36 6
6 37 7
6 38 10
6 39 7
6 40 4
6 41 2
6 42 9
6 43 4
6 44 3
6 45 2
6 46 3
6 47 8
6 48 1
6 49 2
7 8 1
7 9 7
7 10 6
7 11 5
7 12 2
7 13 8
7 14 5
7 15 1
7 16 8
7 17 10
7 18 4
7 19 5
7 20 9
7 21 6
7 22 5
7 23 6
7 24 5
7 25 8
7 26 5
7 27 5
7 28 8
7 29 7
7 30 8
7 31 4
7 32 7
7 33 4
7 34 2
7 35 8
7 36 8
7 37 3
7 38 2
7 40 1
7 41 2
7 42 9
7 43 2
7 44 1
7 45 8
7 46 1
7 47 7
7 48 5
7 49 5
8 9 7
8 10 9
8 11 10
8 12 4
8 13 4
8 14 4
8 15 6
8 16 3
8 17 10
8 18 4
8 19 2
8 20 4
8 21 7
8 22 3
8 23 8
8 24 10
8 25 7
8 26 4
8 27 10
8 28 10
8 29 8
8 30 7
8 31 6
8 32 5
8 33 6
8 34 3
8 35 7
8 36 4
8 37 3
8 38 10
8 39 9
8 40 10
8 41 2
8 42 2
8 43 6
8 44 3
8 45 10
8 46 7
8 47 9
8 48 1
8 49 10
9 10 10
9 11 5
9 12 8
9 14 3
9 15 1
9 16 5
9 17 3
9 18 1
9 19 5
9 20 2
9 21 9
9 22 1
9 23 1
9 24 2
9 25 9
9 26 2
9 27 9
9 28 9
9 29 5
9 30 10
9 31 4
9 32 8
9 33 4
9 34 2
9 35 8
9 36 3
9 37 8
9 38 10
9 39 9
9 40 8
9 41 2
9 42 5
9 43 6
9 44 10
9 45 3
9 46 9
9 47 5
9 48 4
9 49 9
10 11 7
10 12 5
10 13 8
10 14 9
10 15 8
10 16 1
10 17 4
10 18 5
10 19 8
10 20 5
10 21 8
10 22 8
10 23 1
10 24 5
10 25 4
10 26 3
10 27 7
10 28 10
10 29 5
10 30 5
10 31 6
10 32 7
10 33 7
10 34 9
10 35 5
10 36 6
10 37 10
10 38 8
10 39 4
10 40 3
10 41 4
10 42 6
10 43 8
10 44 9
10 45 2
10 46 3
10 47 5
10 48 6
10 49 5
11 12 4
11 13 3
11 14 1
11 15 5
11 16 3
11 17 2
11 18 9
11 19 5
11 20 7
11 21 4
11 22 10
11 23 7
11 24 6
11 25 5
11 26 2
11 27 6
11 28 2
11 29 5
11 30 1
11 31 6
11 32 1
11 33 4
11 34 6
11 35 8
11 36 4
11 37 2
11 38 9
11 39 9
11 40 9
11 41 3
11 42 5
11 43 10
11 44 9
11 45 2
11 46 1
11 47 10
11 48 3
11 49 9
12 13 4
12 14 5
12 15 3
12 16 4
12 17 5
12 18 7
12 19 6
12 20 10
12 21 2
12 22 10
12 23 3
12 24 5
12 25 8
12 26 7
12 27 5
12 28 5
12 29 6
12 30 8
12 31 9
12 32 2
12 33 7
12 34 2
12 35 10
12 36 7
12 37 7
12 38 7
12 39 9
12 40 4
12 41 6
12 42 2
12 44 3
12 45 5
12 46 2
12 47 10
12 48 8
12 49 6
13 14 6
13 15 6
13 17 10
13 18 3
13 19 8
13 20 6
13 21 1
13 22 8
13 23 9
13 24 8
13 25 9
13 26 2
13 27 9
13 28 9
13 29 6
13 30 5
13 31 2
13 32 6
13 33 8
13 34 6
13 35 8
13 36 6
13 37 5
13 38 7
13 39 6
13 40 1
13 41 4
13 42 1
13 43 4
13 44 5
13 45 7
13 46 9
13 47 1
13 48 5
13 49 4
14 15 5
14 16 6
14 17 5
14 18 7
14 19 10
14 20 6
14 21 1
14 22 9
14 23 4
14 24 6
14 25 6
14 26 3
14 27 4
14 28 2
14 29 8
14 30 1
14 31 9
14 32 7
14 33 6
14 34 7
14 35 2
14 36 3
14 37 4
14 38 6
14 39 7
14 40 10
14 41 4
14 42 3
14 43 1
14 44 1
14 45 6
14 46 9
14 47 2
14 48 5
14 49 10
15 16 9
15 17 3
15 18 7
15 19 5
15 20 7
15 21 1
15 22 8
15 23 4
15 24 6
15 25 7
15 26 5
15 27 9
15 28 6
15 29 5
15 30 9
15 31 9
15 32 8
15 33 10
15 34 1
15 35 6
15 36 8
15 37 8
15 38 2
15 39 7
15 40 5
15 41 10
15 42 6
15 43 7
15 44 6
15 45 9
15 46 2
15 47 6
15 48 7
15 49 8
16 17 6
16 18 7
16 19 7
16 21 4
16 22 10
16 23 6
16 24 9
16 25 7
16 26 9
16 27 1
16 28 10
16 29 8
16 30 6
16 31 5
16 32 4
16 33 10
16 34 2
16 35 1
16 36 6
16 37 3
16 38 3
16 39 3
16 40 9
16 41 6
16 42 1
16 43 2
16 44 9
16 45 2
16 46 7
16 47 4
16 48 7
16 49 3
17 18 6
17 19 4
17 20 8
17 21 7
17 22 4
17 23 4
17 24 2
17 25 6
17 26 2
17 27 7
17 29 10
17 30 5
17 31 8
17 32 2
17 33 5
17 34 6
17 35 7
17 36 9
17 37 10
17 38 2
17 39 4
17 40 10
17 41 8
17 42 6
17 43 6
17 44 3
17 45 10
17 46 4
17 47 9
17 48 5
17 49 10
18 19 5
18 20 4
18 21 2
18 22 6
18 23 3
18 24 5
18 25 9
18 26 7
18 27 4
18 28 1
18 29 9
18 30 8
18 31 3
18 32 10
18 33 7
18 34 8
18 35 3
18 36 4
18 37 4
18 38 1
18 40 3
18 41 9
18 42 1
18 43 7
18 44 2
18 45 4
18 46 10
18 47 5
18 48 7
18 49 7
19 20 1
19 21 9
19 22 6
19 23 1
19 24 6
19 25 8
19 26 6
19 27 1
19 28 6
19 29 9
19 30 2
19 31 5
19 32 2
19 33 8
19 34 3
19 35 1
19 36 2
19 37 6
19 38 7
19 39 4
19 40 10
19 41 9
19 42 7
19 43 5
19 44 10
19 45 10
19 46 5
19 47 8
19 48 3
19 49 10
20 21 6
20 22 7
20 23 2
20 24 2
20 25 4
20 26 3
20 27 7
20 28 8
20 29 1
20 30 4
20 31 8
20 32 7
20 33 1
20 34 7
20 35 1
20 36 9
20 37 8
20 38 4
20 39 10
20 40 7
20 41 10
20 42 2
20 43 6
20 44 4
20 45 6
20 46 4
20 47 3
20 48 8
20 49 1
21 22 2
21 23 1
21 24 2
21 25 7
21 26 10
21 27 5
21 28 6
21 29 2
21 30 2
21 31 10
21 32 3
21 33 2
21 34 8
21 35 1
21 36 5
21 37 9
21 38 8
21 39 4
21 40 9
21 41 1
21 42 4
21 43 9
21 44 2
21 45 10
21 46 2
21 47 5
21 48 5
21 49 6
22 23 7
22 24 6
22 25 8
22 26 6
22 27 10
22 28 10
22 29 9
22 30 5
22 31 10
22 32 4
22 33 8
22 34 8
22 35 5
22 36 3
22 37 3
22 38 1
22 39 4
22 40 5
22 41 10
22 42 1
22 43 9
22 44 1
22 45 3
22 46 4
22 47 2
22 49 8
23 24 6
23 25 8
