50 393
0 8 1
0 9 2
0 15 7
0 16 2
0 18 4
0 26 6
0 27 6
0 29 7
0 30 7
0 34 6
0 35 6
0 36 10
0 40 10
0 41 6
0 44 2
0 46 10
0 49 8
1 3 4
1 6 10
1 7 3
1 8 3
1 9 4
1 13 6
1 16 8
1 17 6
1 26 8
1 27 7
1 28 7
1 31 9
1 32 9
1 34 10
1 37 3
1 43 3
1 45 9
1 47 4
1 48 1
2 3 5
2 9 10
2 10 9
2 14 2
2 17 2
2 18 7
2 20 9
2 23 7
2 26 8
2 30 6
2 31 9
2 35 4
2 40 3
2 42 8
2 48 4
2 49 10
3 4 6
3 11 3
3 16 2
3 21 7
3 26 8
3 30 3
3 37 4
3 38 1
3 41 9
3 43 9
3 44 3
3 47 4
3 48 8
4 8 2
4 11 10
4 12 2
4 16 3
4 19 6
4 20 5
4 21 9
4 22 6
4 24 3
4 28 8
4 31 2
4 34 10
4 39 3
4 42 7
4 44 4
4 45 4
5 7 2
5 8 8
5 9 6
5 12 4
5 13 3
5 16 2
5 19 2
5 23 6
5 24 1
5 36 10
5 37 10
5 41 1
5 48 3
6 16 3
6 19 2
6 22 9
6 28 4
6 34 9
6 36 9
6 40 10
6 45 2
6 46 10
7 8 9
7 9 10
7 11 3
7 14 4
7 17 6
7 19 10
7 21 2
7 24 2
7 28 8
7 32 1
7 39 8
7 42 10
7 43 8
7 49 6
8 14 4
8 21 8
8 23 5
8 26 10
8 31 7
8 36 9
8 37 4
8 39 9
8 44 1
8 47 2
9 12 9
9 17 3
9 19 8
9 20 5
9 22 1
9 23 10
9 25 4
9 26 8
9 32 9
9 34 5
9 37 4
9 41 10
9 43 9
9 44 3
9 45 10
9 46 7
10 11 3
10 15 7
10 18 3
10 20 3
10 24 5
10 29 8
10 31 8
10 37 7
10 41 5
10 47 8
10 48 5
11 12 1
11 15 7
11 16 3
11 17 8
11 19 1
11 22 7
11 27 8
11 29 9
11 30 6
11 36 9
11 38 2
11 40 10
11 44 1
11 48 3
12 14 4
12 16 5
12 21 7
12 25 1
12 27 8
12 29 10
12 35 3
12 38 5
12 49 9
13 15 5
13 17 7
13 27 4
13 30 10
13 33 7
13 34 7
13 35 2
13 36 9
13 38 4
13 39 10
13 40 8
13 44 3
13 45 7
13 47 7
13 49 7
14 16 3
14 22 7
14 25 3
14 26 6
14 27 2
14 32 1
14 34 10
14 38 9
14 39 4
14 40 9
14 42 10
14 48 2
14 49 6
15 18 5
15 23 3
15 25 6
15 29 2
15 32 7
15 42 6
15 43 2
15 44 3
15 48 3
16 18 5
16 21 9
16 22 7
16 24 3
16 25 2
16 29 7
16 30 7
16 31 9
16 33 8
16 34 3
16 35 7
16 37 9
16 42 2
16 43 4
16 44 6
16 47 2
16 48 5
17 18 5
17 22 10
17 23 9
17 27 10
17 32 2
17 42 7
17 43 8
17 49 4
18 21 7
18 22 7
18 25 10
18 26 2
18 29 5
18 30 1
18 34 8
18 38 1
18 39 4
18 41 9
18 44 8
18 45 3
18 46 8
18 47 9
18 48 3
19 27 4
19 28 3
19 29 4
19 30 6
19 32 10
19 33 10
19 34 1
19 35 5
19 37 1
19 43 6
19 45 7
20 23 1
20 26 1
20 28 5
20 29 6
20 30 2
20 41 1
20 43 6
20 45 6
21 24 1
21 25 4
21 26 8
21 27 4
21 33 5
21 34 10
21 35 3
21 37 7
21 38 2
21 39 8
21 47 6
21 49 9
22 28 1
22 30 3
22 33 7
22 35 6
22 45 10
22 46 1
23 25 4
23 27 10
23 30 4
23 31 9
23 32 4
23 34 3
23 37 7
23 40 4
23 42 5
23 45 7
23 49 3
24 34 6
24 43 4
24 44 7
24 45 4
24 46 9
24 47 5
25 27 3
25 28 4
25 34 7
25 35 3
25 38 6
25 41 10
25 45 10
26 28 10
26 29 4
26 37 6
26 40 3
26 41 3
26 49 8
27 28 6
27 29 4
27 35 9
27 39 7
27 40 6
27 42 3
27 45 5
27 48 4
28 38 4
28 47 5
29 36 4
29 42 10
29 48 3
29 49 10
30 31 1
30 32 1
30 35 7
30 36 4
30 37 8
30 38 2
30 42 2
30 45 2
30 48 2
30 49 2
31 32 1
31 33 8
31 35 7
31 39 4
31 44 2
32 34 10
32 36 2
32 41 8
32 44 9
32 49 4
33 39 6
33 41 10
34 36 10
34 42 6
34 46 8
34 48 5
34 49 10
35 36 10
35 38 10
35 42 5
35 46 3
35 47 2
36 43 10
37 38 9
37 41 1
38 39 10
38 43 5
38 47 7
39 40 1
39 42 7
39 44 5
39 46 9
39 47 7
39 48 4
40 41 5
40 42 10
40 44 3
40 46 9
41 49 1
42 43 8
42 44 6
42 46 8
43 44 5
43 46 9
44 45 6
44 47 6
46 49 1
47 49 1
