1000 90590
0 7 10
0 8 3
0 12 4
0 14 10
0 15 3
0 21 4
0 24 6
0 30 9
0 31 5
0 51 4
0 54 3
0 56 8
0 59 7
0 73 6
0 77 8
0 101 9
0 108 2
0 112 2
0 123 2
0 128 10
0 136 10
0 144 5
0 148 3
0 149 4
0 152 8
0 155 4
0 165 7
0 174 4
0 177 2
0 178 3
0 179 10
0 192 9
0 200 10
0 205 7
0 210 9
0 215 8
0 220 9
0 225 1
0 227 6
0 228 6
0 230 7
0 232 1
0 233 9
0 234 10
0 236 7
0 245 8
0 247 4
0 251 6
0 260 7
0 264 6
0 278 2
0 282 1
0 289 8
0 298 10
0 306 9
0 316 3
0 341 8
0 349 6
0 353 7
0 357 10
0 364 9
0 376 4
0 389 8
0 402 7
0 413 9
0 415 7
0 422 10
0 424 8
0 425 7
0 427 5
0 436 1
0 440 7
0 442 6
0 445 6
0 454 2
0 455 2
0 458 9
0 461 1
0 474 5
0 475 8
0 485 6
0 487 1
0 496 5
0 499 4
0 505 4
0 516 6
0 534 6
0 537 10
0 544 3
0 545 8
0 547 9
0 548 10
0 554 4
0 558 10
0 562 10
0 563 10
0 572 5
0 578 8
0 590 9
0 603 1
0 609 5
0 613 2
0 614 4
0 621 5
0 623 7
0 627 6
0 628 8
0 632 10
0 649 9
0 653 1
0 662 3
0 665 1
0 673 1
0 677 4
0 679 3
0 682 2
0 688 5
0 699 7
0 700 4
0 708 2
0 716 6
0 719 10
0 722 7
0 726 7
0 729 2
0 731 4
0 733 5
0 742 6
0 745 3
0 747 4
0 748 9
0 750 10
0 755 4
0 756 3
0 763 3
0 765 3
0 774 10
0 776 8
0 783 8
0 797 1
0 799 10
0 802 4
0 807 4
0 808 1
0 817 3
0 823 2
0 831 1
0 832 1
0 844 1
0 848 7
0 849 8
0 852 6
0 858 3
0 859 8
0 861 3
0 864 5
0 866 5
0 873 2
0 876 3
0 883 7
0 888 10
0 896 7
0 897 3
0 899 9
0 904 5
0 920 9
0 939 4
0 940 5
0 947 2
0 953 5
0 964 1
0 965 5
0 973 10
0 979 1
0 985 9
0 988 5
0 996 4
1 4 1
1 15 2
1 16 4
1 19 7
1 38 10
1 41 10
1 47 7
1 48 5
1 52 6
1 60 9
1 62 4
1 66 2
1 69 1
1 70 8
1 73 10
1 77 6
1 81 2
1 87 10
1 90 7
1 91 5
1 95 6
1 96 2
1 99 3
1 101 5
1 111 7
1 112 8
1 117 4
1 118 1
1 119 3
1 125 2
1 126 3
1 152 1
1 154 5
1 173 1
1 175 9
1 179 3
1 188 4
1 190 8
1 192 5
1 193 6
1 197 1
1 201 7
1 212 2
1 219 1
1 223 4
1 227 4
1 230 6
1 236 9
1 239 4
1 244 10
1 246 9
1 247 6
1 253 4
1 258 1
1 266 7
1 267 10
1 271 8
1 294 3
1 297 8
1 307 5
1 308 4
1 318 4
1 324 6
1 328 9
1 334 9
1 337 6
1 340 1
1 341 2
1 344 9
1 350 8
1 352 8
1 367 7
1 371 5
1 374 6
1 376 5
1 377 8
1 380 6
1 382 9
1 399 6
1 402 7
1 417 7
1 419 2
1 421 7
1 432 8
1 436 1
1 443 9
1 449 5
1 450 3
1 455 9
1 459 2
1 471 8
1 472 9
1 482 4
1 484 8
1 490 3
1 493 5
1 514 6
1 515 8
1 516 7
1 518 2
1 521 6
1 526 2
1 539 7
1 541 7
1 542 5
1 543 3
1 548 10
1 554 9
1 565 10
1 571 1
1 573 2
1 577 7
1 585 8
1 591 1
1 592 9
1 596 7
1 606 6
1 616 7
1 617 1
1 623 1
1 625 1
1 628 6
1 632 10
1 643 1
1 644 5
1 645 3
1 654 8
1 657 9
1 665 6
1 672 10
1 689 1
1 693 8
1 701 4
1 712 9
1 714 1
1 727 4
1 729 9
1 730 9
1 732 1
1 739 8
1 742 5
1 751 9
1 773 10
1 777 2
1 782 6
1 786 6
1 789 9
1 790 7
1 791 7
1 799 9
1 803 6
1 809 3
1 817 8
1 827 9
1 834 6
1 836 2
1 839 7
1 842 3
1 845 1
1 858 3
1 860 10
1 862 9
1 866 9
1 885 6
1 893 7
1 902 1
1 905 4
1 906 1
1 909 8
1 917 2
1 932 8
1 935 5
1 937 9
1 941 4
1 942 4
1 949 1
1 952 3
1 966 9
1 967 1
1 979 5
1 982 3
1 986 9
1 989 9
1 993 4
2 9 4
2 10 10
2 12 7
2 14 2
2 28 6
2 29 10
2 36 8
2 39 7
2 40 5
2 43 3
2 63 5
2 69 9
2 70 10
2 74 7
2 75 1
2 80 4
2 82 9
2 100 9
2 104 3
2 106 3
2 109 7
2 117 10
2 132 3
2 136 2
2 138 3
2 148 10
2 153 10
2 155 8
2 166 9
2 168 7
2 173 1
2 176 7
2 177 2
2 184 1
2 194 9
2 203 10
2 208 6
2 211 3
2 216 6
2 219 8
2 246 1
2 250 1
2 252 5
2 260 7
2 265 1
2 269 6
2 271 10
2 273 8
2 277 4
2 285 3
2 289 9
2 291 8
2 297 5
2 306 2
2 315 6
2 318 6
2 319 8
2 321 5
2 329 10
2 331 7
2 340 8
2 342 8
2 345 10
2 362 9
2 366 5
2 368 7
2 378 7
2 381 8
2 382 6
2 389 7
2 392 5
2 399 9
2 403 7
2 409 9
2 420 5
2 432 7
2 437 7
2 439 3
2 441 9
2 443 1
2 447 6
2 448 5
2 452 1
2 454 1
2 461 3
2 464 2
2 465 1
2 467 2
2 493 4
2 499 6
2 503 5
2 516 7
2 527 1
2 542 6
2 546 3
2 548 6
2 577 8
2 595 9
2 596 2
2 602 4
2 606 4
2 607 6
2 609 4
2 610 3
2 612 9
2 624 9
2 625 4
2 635 7
2 646 9
2 648 3
2 661 2
2 663 7
2 665 1
2 670 5
2 679 3
2 687 5
2 700 5
2 704 6
2 706 4
2 711 7
2 712 8
2 715 2
2 722 7
2 723 8
2 724 1
2 732 5
2 735 7
2 737 6
2 746 3
2 747 5
2 750 1
2 754 4
2 756 10
2 761 3
2 764 8
2 768 2
2 774 4
2 791 3
2 793 9
2 795 5
2 816 6
2 825 4
2 828 3
2 832 8
2 835 6
2 843 7
2 858 6
2 860 1
2 862 9
2 864 4
2 866 2
2 869 8
2 870 8
2 872 4
2 888 1
2 889 8
2 896 2
2 901 3
2 903 9
2 905 1
2 908 9
2 917 1
2 921 7
2 922 7
2 925 2
2 927 9
2 932 3
2 948 8
2 954 8
2 955 6
2 957 7
2 968 9
2 970 3
2 972 2
2 978 3
2 980 3
2 981 1
2 983 4
2 985 1
2 986 10
2 987 4
2 993 3
2 995 5
2 996 4
2 998 6
3 23 1
3 25 3
3 26 9
3 31 4
3 37 6
3 39 1
3 41 7
3 42 9
3 44 10
3 51 3
3 59 9
3 60 7
3 69 4
3 93 8
3 106 5
3 109 8
3 113 9
3 114 7
3 116 7
3 119 3
3 133 8
3 144 8
3 145 4
3 148 8
3 155 9
3 173 6
3 214 4
3 223 10
3 224 3
3 226 8
3 227 8
3 228 5
3 232 3
3 249 3
3 269 1
3 271 9
3 274 2
3 279 2
3 280 6
3 282 4
3 285 6
3 290 3
3 293 3
3 295 8
3 299 6
3 300 4
3 303 10
3 312 3
3 319 3
3 321 5
3 338 7
3 339 9
3 351 1
3 354 1
3 360 9
3 362 6
3 363 5
3 365 8
3 376 3
3 386 2
3 388 4
3 393 7
3 394 6
3 395 3
3 398 8
3 410 6
3 414 4
3 415 10
3 418 6
3 420 7
3 421 9
3 430 7
3 438 8
3 441 10
3 443 7
3 448 8
3 451 3
3 452 9
3 456 6
3 458 4
3 463 1
3 466 9
3 468 6
3 469 6
3 473 9
3 486 8
3 490 7
3 491 6
3 501 10
3 505 9
3 506 9
3 522 9
3 528 8
3 529 8
3 531 9
3 534 6
3 537 8
3 543 6
3 544 9
3 546 5
3 550 5
3 553 3
3 557 9
3 558 9
3 565 7
3 569 2
3 580 8
3 581 9
3 583 2
3 585 6
3 596 5
3 598 3
3 603 1
3 616 1
3 647 9
3 653 8
3 659 1
3 671 4
3 672 7
3 677 8
3 700 6
3 713 10
3 716 7
3 733 4
3 736 5
3 740 2
3 742 3
3 743 1
3 745 4
3 747 3
3 754 1
3 755 10
3 756 2
3 759 6
3 761 9
3 767 9
3 768 6
3 773 2
3 799 10
3 800 2
3 812 7
3 813 10
3 816 3
3 823 6
3 825 4
3 828 1
3 834 3
3 838 4
3 840 2
3 842 1
3 852 6
3 857 1
3 863 7
3 871 9
3 873 6
3 875 9
3 881 5
3 891 3
3 895 7
3 899 10
3 903 6
3 908 3
3 911 4
3 919 3
3 924 8
3 938 10
3 955 5
3 961 9
3 968 9
3 983 8
3 984 10
3 990 4
4 7 9
4 23 8
4 25 1
4 27 8
4 31 8
4 33 4
4 37 8
4 39 1
4 47 9
4 51 10
4 55 6
4 61 4
4 67 1
4 77 3
4 83 3
4 85 7
4 94 4
4 96 3
4 106 9
4 114 6
4 116 5
4 134 1
4 139 7
4 142 9
4 145 6
4 146 8
4 150 4
4 152 1
4 156 5
4 162 5
4 167 1
4 169 1
4 170 6
4 171 10
4 174 1
4 176 3
4 184 8
4 185 6
4 188 9
4 203 9
4 214 4
4 217 1
4 218 8
4 219 10
4 222 7
4 227 3
4 229 8
4 234 7
4 242 8
4 258 9
4 259 1
4 263 8
4 295 3
4 296 2
4 305 4
4 308 5
4 309 5
4 314 7
4 317 6
4 326 6
4 329 10
4 330 4
4 333 1
4 335 10
4 341 4
4 349 7
4 350 4
4 354 4
4 365 8
4 370 3
4 372 1
4 376 7
4 392 3
4 396 9
4 418 10
4 419 4
4 422 10
4 426 8
4 427 10
4 432 6
4 433 3
4 435 2
4 437 7
4 438 9
4 441 3
4 442 2
4 446 5
4 448 9
4 450 3
4 452 4
4 454 8
4 456 3
4 476 1
4 478 5
4 479 4
4 482 2
4 487 10
4 493 7
4 496 4
4 503 2
4 504 9
4 505 6
4 509 4
4 511 9
4 512 7
4 517 6
4 529 5
4 547 8
4 549 10
4 550 9
4 552 4
4 569 10
4 571 7
4 576 2
4 585 9
4 587 5
4 590 4
4 599 5
4 609 8
4 610 9
4 612 6
4 617 1
4 618 8
4 639 10
4 642 9
4 643 8
4 646 3
